<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;5;20180904;104500;107750.0000000;107750.0000000;107750.0000000;107750.0000000;1
SPFB.RTS-12.18;5;20180904;105000;107720.0000000;107720.0000000;107650.0000000;107680.0000000;6
SPFB.RTS-12.18;5;20180904;105500;107750.0000000;107750.0000000;107510.0000000;107580.0000000;62
SPFB.RTS-12.18;5;20180904;110000;107590.0000000;107590.0000000;107510.0000000;107550.0000000;7
SPFB.RTS-12.18;5;20180904;110500;107450.0000000;107450.0000000;107430.0000000;107430.0000000;3
SPFB.RTS-12.18;5;20180904;111000;107530.0000000;107600.0000000;107530.0000000;107600.0000000;5
SPFB.RTS-12.18;5;20180904;111500;107690.0000000;107690.0000000;107690.0000000;107690.0000000;1
SPFB.RTS-12.18;5;20180904;112000;107610.0000000;107610.0000000;107610.0000000;107610.0000000;1
SPFB.RTS-12.18;5;20180904;112500;107640.0000000;107690.0000000;107610.0000000;107610.0000000;4
SPFB.RTS-12.18;5;20180904;113000;107630.0000000;107630.0000000;107630.0000000;107630.0000000;1
SPFB.RTS-12.18;5;20180904;114000;107570.0000000;107570.0000000;107570.0000000;107570.0000000;2
SPFB.RTS-12.18;5;20180904;115000;107510.0000000;107510.0000000;107510.0000000;107510.0000000;1
SPFB.RTS-12.18;5;20180904;115500;107460.0000000;107470.0000000;107440.0000000;107460.0000000;12
SPFB.RTS-12.18;5;20180904;120000;107340.0000000;107410.0000000;107210.0000000;107270.0000000;25
SPFB.RTS-12.18;5;20180904;120500;107240.0000000;107240.0000000;106750.0000000;106840.0000000;158
SPFB.RTS-12.18;5;20180904;121000;106910.0000000;106990.0000000;106790.0000000;106950.0000000;15
SPFB.RTS-12.18;5;20180904;121500;107000.0000000;107000.0000000;106990.0000000;106990.0000000;2
SPFB.RTS-12.18;5;20180904;122000;107000.0000000;107050.0000000;106980.0000000;106980.0000000;4
SPFB.RTS-12.18;5;20180904;122500;107060.0000000;107060.0000000;107060.0000000;107060.0000000;4
SPFB.RTS-12.18;5;20180904;123000;107060.0000000;107150.0000000;107060.0000000;107150.0000000;2
SPFB.RTS-12.18;5;20180904;123500;107030.0000000;107200.0000000;107030.0000000;107200.0000000;2
SPFB.RTS-12.18;5;20180904;124000;107300.0000000;107350.0000000;107210.0000000;107230.0000000;55
SPFB.RTS-12.18;5;20180904;124500;107150.0000000;107150.0000000;107150.0000000;107150.0000000;2
SPFB.RTS-12.18;5;20180904;130000;107000.0000000;107020.0000000;106960.0000000;106960.0000000;7
SPFB.RTS-12.18;5;20180904;130500;106930.0000000;106930.0000000;106850.0000000;106850.0000000;7
SPFB.RTS-12.18;5;20180904;131000;107000.0000000;107080.0000000;107000.0000000;107080.0000000;7
SPFB.RTS-12.18;5;20180904;131500;107120.0000000;107120.0000000;107120.0000000;107120.0000000;1
SPFB.RTS-12.18;5;20180904;133000;106950.0000000;106950.0000000;106920.0000000;106920.0000000;4
SPFB.RTS-12.18;5;20180904;133500;107000.0000000;107010.0000000;107000.0000000;107010.0000000;21
SPFB.RTS-12.18;5;20180904;134000;107060.0000000;107070.0000000;107060.0000000;107070.0000000;2
SPFB.RTS-12.18;5;20180904;134500;107050.0000000;107050.0000000;106810.0000000;106850.0000000;7
SPFB.RTS-12.18;5;20180904;135000;106990.0000000;107000.0000000;106990.0000000;107000.0000000;5
SPFB.RTS-12.18;5;20180904;140000;107010.0000000;107010.0000000;106900.0000000;106930.0000000;13
SPFB.RTS-12.18;5;20180904;141000;106900.0000000;106930.0000000;106870.0000000;106930.0000000;23
SPFB.RTS-12.18;5;20180904;141500;106850.0000000;106850.0000000;106700.0000000;106850.0000000;67
SPFB.RTS-12.18;5;20180904;142500;106870.0000000;106870.0000000;106750.0000000;106750.0000000;11
SPFB.RTS-12.18;5;20180904;143000;106740.0000000;106740.0000000;106650.0000000;106700.0000000;91
SPFB.RTS-12.18;5;20180904;143500;106650.0000000;106730.0000000;106620.0000000;106730.0000000;5
SPFB.RTS-12.18;5;20180904;144500;106730.0000000;106730.0000000;106730.0000000;106730.0000000;1
SPFB.RTS-12.18;5;20180904;145000;106710.0000000;106710.0000000;106700.0000000;106700.0000000;7
SPFB.RTS-12.18;5;20180904;150000;106650.0000000;106670.0000000;106590.0000000;106590.0000000;14
SPFB.RTS-12.18;5;20180904;151000;106740.0000000;106740.0000000;106650.0000000;106650.0000000;3
SPFB.RTS-12.18;5;20180904;151500;106650.0000000;106650.0000000;106590.0000000;106590.0000000;4
SPFB.RTS-12.18;5;20180904;153500;106750.0000000;106750.0000000;106750.0000000;106750.0000000;2
SPFB.RTS-12.18;5;20180904;154000;106800.0000000;106800.0000000;106800.0000000;106800.0000000;1
SPFB.RTS-12.18;5;20180904;154500;106850.0000000;106850.0000000;106850.0000000;106850.0000000;1
SPFB.RTS-12.18;5;20180904;155000;106740.0000000;106740.0000000;106740.0000000;106740.0000000;4
SPFB.RTS-12.18;5;20180904;160500;106800.0000000;106800.0000000;106800.0000000;106800.0000000;20
