<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.18,15,20180903,233000,108610.0000000,108650.0000000,108570.0000000,108610.0000000,593
SPFB.RTS-9.18,15,20180903,234500,108610.0000000,108650.0000000,108580.0000000,108590.0000000,391
SPFB.RTS-9.18,15,20180904,100000,108570.0000000,108640.0000000,108360.0000000,108520.0000000,13546
SPFB.RTS-9.18,15,20180904,101500,108530.0000000,108630.0000000,108440.0000000,108520.0000000,5612
SPFB.RTS-9.18,15,20180904,103000,108530.0000000,108810.0000000,108460.0000000,108800.0000000,9300
SPFB.RTS-9.18,15,20180904,104500,108790.0000000,108820.0000000,108420.0000000,108540.0000000,9796
SPFB.RTS-9.18,15,20180904,110000,108550.0000000,108690.0000000,108310.0000000,108600.0000000,11158
SPFB.RTS-9.18,15,20180904,111500,108600.0000000,108680.0000000,108530.0000000,108640.0000000,4592
SPFB.RTS-9.18,15,20180904,113000,108630.0000000,108660.0000000,108450.0000000,108510.0000000,7355
SPFB.RTS-9.18,15,20180904,114500,108510.0000000,108560.0000000,108150.0000000,108160.0000000,13846
SPFB.RTS-9.18,15,20180904,120000,108150.0000000,108190.0000000,107660.0000000,107970.0000000,34222
SPFB.RTS-9.18,15,20180904,121500,107970.0000000,108140.0000000,107850.0000000,108140.0000000,10229
SPFB.RTS-9.18,15,20180904,123000,108120.0000000,108270.0000000,107950.0000000,108090.0000000,8102
SPFB.RTS-9.18,15,20180904,124500,108080.0000000,108210.0000000,107810.0000000,107920.0000000,6776
SPFB.RTS-9.18,15,20180904,130000,107920.0000000,108090.0000000,107760.0000000,108020.0000000,8877
SPFB.RTS-9.18,15,20180904,131500,108020.0000000,108050.0000000,107860.0000000,107880.0000000,3654
SPFB.RTS-9.18,15,20180904,133000,107870.0000000,108050.0000000,107770.0000000,107880.0000000,7803
SPFB.RTS-9.18,15,20180904,134500,107880.0000000,108000.0000000,107820.0000000,107910.0000000,3782
SPFB.RTS-9.18,15,20180904,140000,107900.0000000,107940.0000000,107610.0000000,107760.0000000,7140
SPFB.RTS-9.18,15,20180904,141500,107760.0000000,107810.0000000,107560.0000000,107630.0000000,8572
SPFB.RTS-9.18,15,20180904,143000,107620.0000000,107730.0000000,107540.0000000,107680.0000000,6987
SPFB.RTS-9.18,15,20180904,144500,107680.0000000,107730.0000000,107480.0000000,107580.0000000,7267
SPFB.RTS-9.18,15,20180904,150000,107580.0000000,107650.0000000,107460.0000000,107530.0000000,4808
SPFB.RTS-9.18,15,20180904,151500,107510.0000000,107690.0000000,107500.0000000,107690.0000000,3924
SPFB.RTS-9.18,15,20180904,153000,107690.0000000,107800.0000000,107620.0000000,107740.0000000,4446
SPFB.RTS-9.18,15,20180904,154500,107750.0000000,107770.0000000,107630.0000000,107720.0000000,3141
SPFB.RTS-9.18,15,20180904,160000,107720.0000000,107760.0000000,107530.0000000,107540.0000000,4820
SPFB.RTS-9.18,15,20180904,161500,107540.0000000,107660.0000000,107390.0000000,107470.0000000,8768
SPFB.RTS-9.18,15,20180904,163000,107450.0000000,107540.0000000,107300.0000000,107430.0000000,10651
SPFB.RTS-9.18,15,20180904,164500,107420.0000000,107500.0000000,107300.0000000,107500.0000000,8996
SPFB.RTS-9.18,15,20180904,170000,107500.0000000,107720.0000000,107390.0000000,107650.0000000,11132
SPFB.RTS-9.18,15,20180904,171500,107650.0000000,107990.0000000,107560.0000000,107840.0000000,14047
SPFB.RTS-9.18,15,20180904,173000,107850.0000000,107950.0000000,107640.0000000,107660.0000000,7872
SPFB.RTS-9.18,15,20180904,174500,107650.0000000,108050.0000000,107570.0000000,108000.0000000,10661
SPFB.RTS-9.18,15,20180904,180000,107990.0000000,108040.0000000,107700.0000000,107750.0000000,8145
SPFB.RTS-9.18,15,20180904,181500,107750.0000000,108030.0000000,107620.0000000,107840.0000000,12544
SPFB.RTS-9.18,15,20180904,183000,107850.0000000,107940.0000000,107740.0000000,107930.0000000,8164
SPFB.RTS-9.18,15,20180904,190000,107850.0000000,107880.0000000,107700.0000000,107760.0000000,8458
SPFB.RTS-9.18,15,20180904,191500,107770.0000000,107860.0000000,107660.0000000,107810.0000000,4214
SPFB.RTS-9.18,15,20180904,193000,107810.0000000,107900.0000000,107760.0000000,107850.0000000,2826
SPFB.RTS-9.18,15,20180904,194500,107850.0000000,107940.0000000,107810.0000000,107820.0000000,2857
SPFB.RTS-9.18,15,20180904,200000,107820.0000000,107980.0000000,107820.0000000,107900.0000000,2150
SPFB.RTS-9.18,15,20180904,201500,107900.0000000,107910.0000000,107770.0000000,107870.0000000,2486
SPFB.RTS-9.18,15,20180904,203000,107870.0000000,107950.0000000,107820.0000000,107840.0000000,1477
SPFB.RTS-9.18,15,20180904,204500,107840.0000000,107890.0000000,107800.0000000,107880.0000000,1381
SPFB.RTS-9.18,15,20180904,210000,107880.0000000,107920.0000000,107840.0000000,107910.0000000,897
SPFB.RTS-9.18,15,20180904,211500,107920.0000000,107990.0000000,107870.0000000,107890.0000000,1320
SPFB.RTS-9.18,15,20180904,213000,107890.0000000,107900.0000000,107680.0000000,107730.0000000,2194
SPFB.RTS-9.18,15,20180904,214500,107730.0000000,107760.0000000,107650.0000000,107720.0000000,1711
SPFB.RTS-9.18,15,20180904,220000,107720.0000000,107730.0000000,107540.0000000,107570.0000000,2053
SPFB.RTS-9.18,15,20180904,221500,107570.0000000,107620.0000000,107460.0000000,107510.0000000,2580
SPFB.RTS-9.18,15,20180904,223000,107500.0000000,107540.0000000,107360.0000000,107390.0000000,2551
SPFB.RTS-9.18,15,20180904,224500,107400.0000000,107410.0000000,107230.0000000,107340.0000000,6359
SPFB.RTS-9.18,15,20180904,230000,107340.0000000,107640.0000000,107340.0000000,107520.0000000,2888
SPFB.RTS-9.18,15,20180904,231500,107530.0000000,107640.0000000,107520.0000000,107610.0000000,712
SPFB.RTS-9.18,15,20180904,233000,107600.0000000,107700.0000000,107590.0000000,107590.0000000,1453
SPFB.RTS-9.18,15,20180904,234500,107590.0000000,107620.0000000,107550.0000000,107590.0000000,785
SPFB.RTS-9.18,15,20180905,100000,107520.0000000,107520.0000000,107000.0000000,107060.0000000,18275
SPFB.RTS-9.18,15,20180905,101500,107070.0000000,107370.0000000,107040.0000000,107110.0000000,9203
SPFB.RTS-9.18,15,20180905,103000,107100.0000000,107360.0000000,107100.0000000,107350.0000000,6222
SPFB.RTS-9.18,15,20180905,104500,107340.0000000,107430.0000000,107250.0000000,107380.0000000,4660
SPFB.RTS-9.18,15,20180905,110000,107380.0000000,107540.0000000,107360.0000000,107420.0000000,6801
SPFB.RTS-9.18,15,20180905,111500,107430.0000000,107440.0000000,107110.0000000,107160.0000000,7628
SPFB.RTS-9.18,15,20180905,113000,107160.0000000,107450.0000000,107150.0000000,107310.0000000,6126
SPFB.RTS-9.18,15,20180905,114500,107320.0000000,107450.0000000,107260.0000000,107350.0000000,5288
SPFB.RTS-9.18,15,20180905,120000,107340.0000000,107670.0000000,107230.0000000,107590.0000000,8160
SPFB.RTS-9.18,15,20180905,121500,107590.0000000,107870.0000000,107580.0000000,107790.0000000,7694
SPFB.RTS-9.18,15,20180905,123000,107790.0000000,107890.0000000,107480.0000000,107540.0000000,8935
SPFB.RTS-9.18,15,20180905,124500,107540.0000000,107600.0000000,107370.0000000,107440.0000000,7890
SPFB.RTS-9.18,15,20180905,130000,107450.0000000,107570.0000000,107200.0000000,107210.0000000,7861
SPFB.RTS-9.18,15,20180905,131500,107220.0000000,107390.0000000,107170.0000000,107330.0000000,7027
SPFB.RTS-9.18,15,20180905,133000,107320.0000000,107430.0000000,107290.0000000,107410.0000000,4622
SPFB.RTS-9.18,15,20180905,134500,107420.0000000,107570.0000000,107350.0000000,107490.0000000,7764
SPFB.RTS-9.18,15,20180905,140000,107490.0000000,107670.0000000,107490.0000000,107570.0000000,6050
SPFB.RTS-9.18,15,20180905,141500,107580.0000000,107630.0000000,107460.0000000,107530.0000000,4299
SPFB.RTS-9.18,15,20180905,143000,107510.0000000,107730.0000000,107510.0000000,107580.0000000,5661
SPFB.RTS-9.18,15,20180905,144500,107570.0000000,107660.0000000,107420.0000000,107470.0000000,5720
SPFB.RTS-9.18,15,20180905,150000,107470.0000000,107500.0000000,107390.0000000,107470.0000000,3819
SPFB.RTS-9.18,15,20180905,151500,107460.0000000,107640.0000000,107330.0000000,107640.0000000,5419
SPFB.RTS-9.18,15,20180905,153000,107620.0000000,107650.0000000,107410.0000000,107410.0000000,3370
SPFB.RTS-9.18,15,20180905,154500,107410.0000000,107620.0000000,107410.0000000,107540.0000000,3557
SPFB.RTS-9.18,15,20180905,160000,107560.0000000,107690.0000000,107430.0000000,107650.0000000,6321
